team_key,forca,prob_mercado,prob_simulada,erro_absoluto
france,1.0,0.1854551954610157,0.1830575,0.0023976954610156753
spain,0.8553679180596263,0.1335584930621138,0.1356775,0.0021190069378862197
argentina,0.7888474429196684,0.1330743179434069,0.1323875,0.0006868179434069144
england,0.8123354412751976,0.1068198716717889,0.106545,0.00027487167178889826
portugal,0.7313779031196315,0.08361722763580874,0.08372,0.00010277236419126146
netherlands,0.694714589137004,0.0552676817376843,0.0556375,0.00036981826231569787
germany,0.6803328575828113,0.05351092118132137,0.0542075,0.0006965788186786281
brazil,0.6942981471130354,0.05137626954001297,0.0519475,0.0005712304599870335
usa,0.5535001432781069,0.03480440021313027,0.0341925,0.0006119002131302689
norway,0.5634738575081366,0.02805720257974354,0.0282525,0.00019529742025645863
morocco,0.535907132355494,0.01909624351248641,0.019235,0.00013875648751358882
japan,0.5428721823427644,0.01884620018978382,0.018765,8.120018978382063e-05
colombia,0.47884935535899714,0.01842169346030869,0.01809,0.00033169346030869143
mexico,0.49187816642532806,0.0153059612578877,0.0153225,1.6538742112298666e-05
belgium,0.4775872898546257,0.0121928640978046,0.0125025,0.00030963590219539906
switzerland,0.40640506919078345,0.006936906465958591,0.006965,2.8093534041409053e-05
croatia,0.39340296144707954,0.004963781723314904,0.0049025,6.128172331490433e-05
cote d'ivoire,0.39860381286545593,0.003688944359646079,0.003565,0.00012394435964607894
canada,0.34863346651785926,0.003590501631799486,0.0035575,3.300163179948594e-05
senegal,0.44545958961105253,0.003010114240562367,0.002795,0.00021511424056236666
austria,0.3540998189846193,0.002477915786346011,0.0024325,4.5415786346010914e-05
australia,0.3478748042663439,0.002408980331693799,0.00247,6.101966830620101e-05
sweden,0.3734592212045239,0.002399189495000445,0.00257,0.00017081050499955473
egypt,0.3206802659398598,0.002258636118992828,0.002175,8.363611899282796e-05
uruguay,0.3800580333726759,0.002153840175292666,0.0020825,7.134017529266583e-05
korea republic,0.3332189321109117,0.002015958521934503,0.00183,0.00018595852193450295
bosnia and herzegovina,0.37447698032709686,0.001991162075485698,0.0020675,7.633792451430203e-05
czech republic,0.3909447183304912,0.001990371599705609,0.0018075,0.00018287159970560877
dr congo,0.40143454478172164,0.001813220729399904,0.002255,0.00044177927060009615
iraq,0.45724256049191575,0.001587045892457734,0.001805,0.0002179541075422659
ecuador,0.413556314366191,0.001397395815316268,0.0013075,8.989581531626783e-05
scotland,0.32675195402904134,0.001392455813418363,0.0012825,0.00010995581341836295
ghana,0.29775879733862104,0.00116276076928089,0.00114,2.276076928089e-05
paraguay,0.31228498241782787,0.001072254318232969,0.001065,7.2543182329689974e-06
algeria,0.26822256047143006,0.0005379457538736928,0.000565,2.705424612630715e-05
iran,0.26401230222016353,0.0004282794590184831,0.000445,1.672054098151687e-05
cape verde,0.2560720120229937,0.0003172193040824504,0.0003225,5.280695917549583e-06
saudi arabia,0.27279372488990994,0.0002277741747348299,0.0003075,7.972582526517008e-05
new zealand,0.27184170107839173,0.0002108047313539916,0.00017,4.080473135399158e-05
south africa,0.2710822999707704,0.0001780424506544547,0.0001675,1.0542450654454693e-05
qatar,0.2527997470324293,0.0001436060864282733,0.0001275,1.6106086428273282e-05
uzbekistan,0.3340379553369331,0.0001375561220721145,0.0001875,4.994387792788549e-05
curacao,0.2655694659772665,0.0001027925096449014,9.25e-05,1.0292509644901397e-05
panama,0.15,0.0,0.0,0.0
jordan,0.15,0.0,0.0,0.0
haiti,0.15,0.0,0.0,0.0
tunisia,0.15762217094967745,0.0,0.0,0.0
turkey,0.21273877947788347,0.0,0.0,0.0
