iteracao,alpha,kl_div,mae,mse,rmse,rmspe,max_err,spearman_rho,tempo_acumulado_s
1,0.1,0.0002267200963875656,0.0045840189189925926,2.735999317366434e-05,0.0052306780797200985,0.022878593234616527,0.007728897791574596,1.0,42.309295892715454
2,0.08857142857142858,6.791175425024552e-05,0.0023990189189925792,7.689440419055203e-06,0.0027729840279120256,0.012718938700374778,0.004328897791574582,1.0,84.89548563957214
3,0.07714285714285715,4.242041561632005e-05,0.0019790189189925825,5.2009648562664396e-06,0.0022805623991170336,0.009775043331590719,0.0032988977915745787,1.0,128.09632849693298
4,0.06571428571428573,4.6596295130205525e-05,0.0018640189189925785,5.112377999390939e-06,0.0022610568324106625,0.010631475011850758,0.003668897791574588,1.0,171.03958940505981
5,0.05428571428571429,4.967792165591221e-05,0.0019044488957873015,5.871229219226887e-06,0.0024230619511739454,0.01074929727806421,0.003808897791574589,1.0,214.53382062911987
6,0.04285714285714286,3.217080849961338e-05,0.0015490189189925965,3.3957835639015056e-06,0.0018427651949994893,0.008891801220762425,0.0029188977915745873,1.0,257.40671133995056
7,0.03142857142857143,1.4892889701636873e-05,0.0011240189189925878,1.5816544218830867e-06,0.0012576384305050027,0.006016975562877009,0.001868897791574592,1.0,300.60798954963684
8,0.020000000000000004,1.1141661602925759e-05,0.0008640189189925845,1.1402373764226669e-06,0.0010678189811118113,0.005245510888958428,0.0015788977915745794,1.0,343.51327323913574
