Selecao,CodigoCasa,Casa,odd_fracionaria,prob_implicita,prob_implicita_pct
Scotland,PUP,PricedUp,500,0.001996007984031936,0.19960079840319359
Scotland,SI,Sporting Index,400,0.0024937655860349127,0.24937655860349126
Scotland,G5,BetGoodwin,200,0.004975124378109453,0.4975124378109453
Scotland,VE,Virgin Bet,200,0.004975124378109453,0.4975124378109453
Scotland,QN,QuinnBet,250,0.00398406374501992,0.398406374501992
Scotland,WA,Betway,200,0.004975124378109453,0.4975124378109453
Scotland,CE,Coral,200,0.004975124378109453,0.4975124378109453
Scotland,BAH,BetAhoy,200,0.004975124378109453,0.4975124378109453
Scotland,BTT,BetTom,200,0.004975124378109453,0.4975124378109453
Scotland,BRS,BresBet,250,0.00398406374501992,0.398406374501992
Scotland,SK,Sky Bet,500,0.001996007984031936,0.19960079840319359
Scotland,PP,Paddy Power,500,0.001996007984031936,0.19960079840319359
Scotland,AKB,AK Bets,550,0.0018148820326678765,0.18148820326678766
Scotland,BF,Betfair,705,0.00141643059490085,0.141643059490085
Scotland,MA,Matchbook,714,0.0013986013986013986,0.13986013986013987
Ghana,B3,bet365,300,0.0033222591362126247,0.33222591362126247
Ghana,WH,William Hill,350,0.002849002849002849,0.2849002849002849
Ghana,UN,Unibet,250,0.00398406374501992,0.398406374501992
Ghana,FR,Betfred,400,0.0024937655860349127,0.24937655860349126
Ghana,EE,888sport,350,0.002849002849002849,0.2849002849002849
Ghana,SX,Spreadex,400,0.0024937655860349127,0.24937655860349126
Ghana,LD,Ladbrokes,300,0.0033222591362126247,0.33222591362126247
Ghana,VC,Bet Victor,500,0.001996007984031936,0.19960079840319359
Ghana,KN,BetMGM UK,500,0.001996007984031936,0.19960079840319359
Ghana,BY,Boylesports,300,0.0033222591362126247,0.33222591362126247
Ghana,OE,10Bet,300,0.0033222591362126247,0.33222591362126247
Ghana,S6,StarSports,500,0.001996007984031936,0.19960079840319359
Ghana,PUP,PricedUp,500,0.001996007984031936,0.19960079840319359
Ghana,SI,Sporting Index,400,0.0024937655860349127,0.24937655860349126
Ghana,G5,BetGoodwin,250,0.00398406374501992,0.398406374501992
Ghana,VE,Virgin Bet,500,0.001996007984031936,0.19960079840319359
Ghana,QN,QuinnBet,300,0.0033222591362126247,0.33222591362126247
Ghana,WA,Betway,350,0.002849002849002849,0.2849002849002849
Ghana,CE,Coral,300,0.0033222591362126247,0.33222591362126247
Ghana,BAH,BetAhoy,250,0.00398406374501992,0.398406374501992
Ghana,BTT,BetTom,250,0.00398406374501992,0.398406374501992
Ghana,BRS,BresBet,500,0.001996007984031936,0.19960079840319359
Ghana,SK,Sky Bet,500,0.001996007984031936,0.19960079840319359
Ghana,PP,Paddy Power,500,0.001996007984031936,0.19960079840319359
Ghana,AKB,AK Bets,550,0.0018148820326678765,0.18148820326678766
Ghana,BF,Betfair,518,0.0019267822736030828,0.1926782273603083
Ghana,MA,Matchbook,518,0.0019267822736030828,0.1926782273603083
Algeria,B3,bet365,500,0.001996007984031936,0.19960079840319359
Algeria,WH,William Hill,500,0.001996007984031936,0.19960079840319359
Algeria,UN,Unibet,500,0.001996007984031936,0.19960079840319359
Algeria,FR,Betfred,400,0.0024937655860349127,0.24937655860349126
Algeria,EE,888sport,300,0.0033222591362126247,0.33222591362126247
Algeria,SX,Spreadex,400,0.0024937655860349127,0.24937655860349126
Algeria,LD,Ladbrokes,500,0.001996007984031936,0.19960079840319359
Algeria,VC,Bet Victor,500,0.001996007984031936,0.19960079840319359
Algeria,KN,BetMGM UK,500,0.001996007984031936,0.19960079840319359
Algeria,BY,Boylesports,500,0.001996007984031936,0.19960079840319359
Algeria,OE,10Bet,500,0.001996007984031936,0.19960079840319359
Algeria,S6,StarSports,400,0.0024937655860349127,0.24937655860349126
Algeria,PUP,PricedUp,500,0.001996007984031936,0.19960079840319359
Algeria,SI,Sporting Index,400,0.0024937655860349127,0.24937655860349126
Algeria,G5,BetGoodwin,500,0.001996007984031936,0.19960079840319359
Algeria,VE,Virgin Bet,500,0.001996007984031936,0.19960079840319359
Algeria,QN,QuinnBet,500,0.001996007984031936,0.19960079840319359
Algeria,WA,Betway,300,0.0033222591362126247,0.33222591362126247
Algeria,CE,Coral,500,0.001996007984031936,0.19960079840319359
Algeria,BAH,BetAhoy,500,0.001996007984031936,0.19960079840319359
Algeria,BTT,BetTom,500,0.001996007984031936,0.19960079840319359
Algeria,BRS,BresBet,400,0.0024937655860349127,0.24937655860349126
Algeria,SK,Sky Bet,250,0.00398406374501992,0.398406374501992
Algeria,PP,Paddy Power,250,0.00398406374501992,0.398406374501992
Algeria,AKB,AK Bets,750,0.0013315579227696406,0.13315579227696406
Algeria,BF,Betfair,910,0.0010976948408342481,0.10976948408342481
Algeria,MA,Matchbook,901,0.0011086474501108647,0.11086474501108648
Iran,B3,bet365,750,0.0013315579227696406,0.13315579227696406
Iran,WH,William Hill,750,0.0013315579227696406,0.13315579227696406
Iran,UN,Unibet,750,0.0013315579227696406,0.13315579227696406
Iran,FR,Betfred,750,0.0013315579227696406,0.13315579227696406
Iran,EE,888sport,500,0.001996007984031936,0.19960079840319359
Iran,SX,Spreadex,500,0.001996007984031936,0.19960079840319359
Iran,LD,Ladbrokes,500,0.001996007984031936,0.19960079840319359
